Brand,Title,Product_Url,Average_rating,Product_Code,Reviews,Selling_Price,Orginal_Price,Discount,Sales_Status,Composition
FatFace,Fleece Ribbed Pyjama Bottoms,https://www.marksandspencer.com/fleece-ribbed-pyjama-bottoms/p/clp22567946#intid=pid_pg1pip48g2r1c1,0,T835674W,,32,32,0,,"63% polyester, 34% viscose lenzing™ ecovero™ and 3% elastane"
FatFace,Pure Cotton Bird Print Pyjama Set,https://www.marksandspencer.com/pure-cotton-bird-print-pyjama-set/p/clp22570216#intid=pid_pg1pip48g2r1c2,0,T835456W,,55,55,0,,100% cotton
FatFace,Waffle Funnel Neck Pyjama Top,https://www.marksandspencer.com/waffle-funnel-neck-pyjama-top/p/clp22567945#intid=pid_pg1pip48g2r2c1,0,T835673W,,36.5,36.5,0,,"63% polyester, 34% viscose lenzing™ ecovero™ and 3% elastane"
FatFace,Cotton Rich Printed Cropped Pyjama Bottoms,https://www.marksandspencer.com/cotton-rich-printed-cropped-pyjama-bottoms/p/clp22567947#intid=pid_pg1pip48g2r2c2,0,T835675W,,32.5,32.5,0,,"95% cotton, 5% elastane"
M&S Collection,Teddy Borg Hooded Cardigan,https://www.marksandspencer.com/teddy-fleece-short-dressing-gown/p/clp60567087?color=DUSTYGREEN#intid=pid_pg1pip48g2r3c1,4.38,T372427G,130,25,25,0,,"100% polyester (exclusive of trimmings), Ribbing - 95% cotton, 5% elastane"
M&S Collection,Teddy Borg Hooded Cardigan,https://www.marksandspencer.com/teddy-fleece-short-dressing-gown/p/clp60567087?color=ANTIQUEROSE#intid=pid_pg1pip48g2r3c2,4.38,T372427G,130,25,25,0,,"100% polyester (exclusive of trimmings), Ribbing - 95% cotton, 5% elastane"
M&S Collection,Cotton Modal Pyjama Set,https://www.marksandspencer.com/cotton-modal-pyjama-set/p/clp60458447#intid=pid_pg1pip48g2r4c1,4.36,T371566J,692,30,30,0,,"50% cotton, 50% modal (exclusive of trimmings), Contains non-textile parts of animal origin"
Body,Body Soft™ Lace Detail Nightdress,https://www.marksandspencer.com/lace-detail-short-nightdress/p/clp60616221?color=RASPBERRY#intid=pid_pg1pip48g2r4c2,4.53,T373257M,38,15,15,0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Trim Chemise,https://www.marksandspencer.com/body-soft-lace-trim-chemise/p/clp60618639?color=BLACK#intid=pid_pg1pip48g2r5c1,4.48,T375083C,21,25,25,0,,"96% viscose, 4% elastane (exclusive of trimmings)"
M&S Collection,Teddy Borg Hooded Cardigan,https://www.marksandspencer.com/teddy-fleece-short-dressing-gown/p/clp60567087?color=SILVERGREY#intid=pid_pg1pip48g2r5c2,4.38,T372427G,130,25,25,0,,"100% polyester (exclusive of trimmings), Ribbing - 95% cotton, 5% elastane"
Body,Body Soft™ Lace Trim Chemise,https://www.marksandspencer.com/body-soft-lace-trim-chemise/p/clp60618639?color=RASPBERRY#intid=pid_pg1pip48g2r6c1,4.48,T375083C,21,25,25,0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Detail Pyjama Top,https://www.marksandspencer.com/lace-detail-pyjama-top/p/clp60621094?color=DARKRASPBERRY#intid=pid_pg1pip48g2r6c2,4.74,T373488T,19,10,10,0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Pure Cotton Dressing Gown,https://www.marksandspencer.com/pure-cotton-towelling-long-dressing-gown/p/clp60544802#intid=pid_pg1pip48g2r7c1,4.5,T372275G,387,36,36,0,,"100% cotton (exclusive of trimmings), With belt"
Body,Body Soft™ Lace Detail Lounge Joggers,https://www.marksandspencer.com/body-soft-lace-detail-lounge-joggers/p/clp60621071?color=DARKRASPBERRY#intid=pid_pg1pip48g2r7c2,4.64,T371648P,14,15,15,0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Detail Lounge Joggers,https://www.marksandspencer.com/body-soft-lace-detail-lounge-joggers/p/clp60621071?color=BLACK#intid=pid_pg1pip48g2r8c1,4.64,T371648P,14,15,15,0,,"96% viscose, 4% elastane (exclusive of trimmings)"
