Company,Title,Average rating,Product Code,Reviews,Selling Price,Orginal Price,saved Price,Sales Status,Composition
FatFace,Fleece Ribbed Pyjama Bottoms,0.0,Product code: T835674W,,32.0,32.0,0.0,,"63% polyester, 34% viscose lenzing™ ecovero™ and 3% elastane"
FatFace,Cotton Rich Printed Cropped Pyjama Bottoms,0.0,Product code: T835675W,,32.5,32.5,0.0,,"95% cotton, 5% elastane"
FatFace,Cotton Modal Woodland Animal Pyjama Top,0.0,Product code: T835678W,,28.0,28.0,0.0,,"60% cotton, 40% modal"
FatFace,Waffle Funnel Neck Pyjama Top,0.0,Product code: T835673W,,36.5,36.5,0.0,,"63% polyester, 34% viscose lenzing™ ecovero™ and 3% elastane"
M&S Collection,Cotton Modal Pyjama Set,4.37,Product code: T371566J,687.0,30.0,30.0,0.0,,"50% cotton, 50% modal (exclusive of trimmings), Contains non-textile parts of animal origin"
Body,Body Soft™ Lace Detail Nightdress,4.5,Product code: T373257M,20.0,15.0,15.0,0.0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Trim Chemise,4.33,Product code: T375083C,15.0,25.0,25.0,0.0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Detail Nightdress,4.5,Product code: T373257M,20.0,15.0,15.0,0.0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Boutique,Nova Lace Camisole Short Set,4.62,Product code: T817707C,45.0,20.8,26.0,5.2,,"Rose pink top - 84% polyester, 11% elastane and 5% polyamide (exclusive of trimmings), Rose pink bottom - 72% polyester, 18% polyamide and 10% elastane, Black top - 83% polyester, 11% elastane and 6% polyamide, Black bottom - 70% polyester, 19% polyamide and 11% elastane, Gusset (of underwear) - 100% cotton"
Body,Body Soft™ Lace Detail Pyjama Top,4.55,Product code: T373488T,11.0,10.0,10.0,0.0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Pure Cotton Dressing Gown,4.5,Product code: T372275G,384.0,36.0,36.0,0.0,,"100% cotton (exclusive of trimmings), With belt"
Body,Body Soft™ Lace Detail Pyjama Top,4.55,Product code: T373488T,11.0,10.0,10.0,0.0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Detail Pyjama Top,4.55,Product code: T373488T,11.0,10.0,10.0,0.0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Trim Pyjama Shorts,5.0,Product code: T373401S,7.0,10.0,10.0,0.0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Boutique,Nova Lace Camisole Short Set,4.62,Product code: T817707C,45.0,20.8,26.0,5.2,,"Rose pink top - 84% polyester, 11% elastane and 5% polyamide (exclusive of trimmings), Rose pink bottom - 72% polyester, 18% polyamide and 10% elastane, Black top - 83% polyester, 11% elastane and 6% polyamide, Black bottom - 70% polyester, 19% polyamide and 11% elastane, Gusset (of underwear) - 100% cotton"
Body,Body Soft™ Lace Detail Short Dressing Gown,3.6,Product code: T378573W,10.0,25.0,25.0,0.0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Detail Pyjama Top,4.55,Product code: T373488T,11.0,10.0,10.0,0.0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Detail Cami Top,4.33,Product code: T373489T,6.0,15.0,15.0,0.0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Trim Pyjama Shorts,5.0,Product code: T373401S,7.0,10.0,10.0,0.0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Detail Lounge Joggers,4.7,Product code: T371648P,10.0,15.0,15.0,0.0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Detail Short Dressing Gown,3.6,Product code: T378573W,10.0,25.0,25.0,0.0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Trim Chemise,4.33,Product code: T375083C,15.0,25.0,25.0,0.0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Trim Pyjama Shorts,5.0,Product code: T373401S,7.0,10.0,10.0,0.0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Detail Short Dressing Gown,3.6,Product code: T378573W,10.0,25.0,25.0,0.0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Trim Pyjama Bottoms,4.4,Product code: T371647P,5.0,15.0,15.0,0.0,,"96% viscose, 4% elastane (exclusive of trimmings)"
Body,Body Soft™ Lace Trim Pyjama Shorts,5.0,Product code: T373401S,7.0,10.0,10.0,0.0,,"96% viscose, 4% elastane (exclusive of trimmings)"
