Product URL,Product Title,Product Price,MRP Price,Discount Percentage,Best Sellers Rank,Date First Available,Packer,Importer,ASIN,Customer Reviews,Number of Rating,Item Weight,Item Dimensions,Net Quantity,Generic Name,Brand,Model,Capacity Litres,Installation Type,Special Features,Oven Cooking Mode,Colour,Voltage,Wattage,Material,Included Components,Country of Origin
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDk0Njg2NTcxMDM0Njc6MTY4NjQ5NzAxNTpzcF9hdGZfYnJvd3NlOjIwMTIyMzU3OTA4MDk4OjowOjo&url=%2FSamsung-Convection-Microwave-CE1041DSB3-TL%2Fdp%2FB09VH1Q7CM%2Fref%3Dsr_1_1_sspa%3Fqid%3D1686497015%26s%3Dkitchen%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,"Samsung 28 L Convection Microwave Oven (CE1041DSB3/TL, Black, SlimFry)",12390,16990,27,"#4,031 in Home & Kitchen (See Top 100 in Home & Kitchen)  #7 in Microwave Ovens",14-03-2022,Email: support.india@samsung.com Tel (Toll Free): 1800 40 7267864 (1800 40 SAMSUNG),Email: support.india@samsung.com Tel (Toll Free): 1800 40 7267864 (1800 40 SAMSUNG),B09VH1Q7CM,4.4,7758,17 kg 500 g,47.5 x 51.7 x 31 Centimeters,1 Case,Convection Microwave Oven,Samsung,CE1041DSB3/TL,28,Freestanding,Defrost,"Grill, Microwave, Convection",Black,230 Volts,900 Watts,"Cavity : Ceramic Enamel Cavity, Door : Glass, Body : Stainless Steel","Glass Turntable, Wire Rack, Crusty Plate, Quick Guide Label",Malaysia
https://www.amazon.in/Whirlpool-MAGICOOK-PRO-20SE-BLACK/dp/B07YWYGJYD/ref=sr_1_2?qid=1686497015&s=kitchen&sr=1-2,Whirlpool 20 L Solo Microwave Oven (MAGICOOK PRO 20SE BLACK),5920,8755,32,"#1,615 in Home & Kitchen (See Top 100 in Home & Kitchen)  #1 in Microwave Ovens",13-12-2019,Whirlpool,"Whirlpool of India Ltd. Plot No. A-4, MIDC Ranjangaon,Taluka Shirur, Dist: Pune, Maharashtra 412220, India, Email - helpdeskindia@whirlpool.com ; Toll Free - 1800 208 1800",B07YWYGJYD,4.1,1564,2 kg 650 g,177.2 x 103.1 x 137.8 Centimeters,1 set,Microwave Ovens,Whirlpool,MAGICOOK PRO 20SE BLACK,20,Countertop,Autocook,Solo,Black,230 Volts,800 Watts,Iron,1,China
https://www.amazon.in/Panasonic-Microwave-NN-ST26JMFDG-Silver-Menus/dp/B08CL8XF75/ref=sr_1_3?qid=1686497015&s=kitchen&sr=1-3,"Panasonic 20L Solo Microwave Oven (NN-ST26JMFDG, Silver, 51 Auto Menus)",5890,7490,21,"#1,711 in Home & Kitchen (See Top 100 in Home & Kitchen)  #2 in Microwave Ovens",08-07-2020,Panasonic,Panasonic,B08CL8XF75,4.4,4335,10 kg 500 g,44.3 x 34 x 25.8 Centimeters,1 count,Microwave Ovens,Panasonic,NN-ST26JMFDG,20,Countertop,"Oven Safe, Auto Cook, Defrost, Turntable",Solo,Silver,230 Volts,800 Watts,Iron,"MWO Unit, Turntable, Rotating Ring, User Manual",Thailand
https://www.amazon.in/IFB-Microwave-25PM2S-IFBJ0-Silver/dp/B085V1JD27/ref=sr_1_4?qid=1686497015&s=kitchen&sr=1-4,"IFB 25 L Solo Microwave Oven (25PM2S, Silver)",7090,8990,21,"#2,366 in Home & Kitchen (See Top 100 in Home & Kitchen)  #3 in Microwave Ovens",12-03-2020,"IFB Industries Ltd.L-1, Verna, Goa, India-403722 0832-3044800/01 Customerservice@ifbglobal.com","IFB Industries Ltd.L-1, Verna, Goa, India-403722 0832-3044800/01 Customerservice@ifbglobal.com",B085V1JD27,4.3,892,13 kg 400 g,41.5 x 48.3 x 28.1 Centimeters,1 Count,Microwave Ovens,IFB,25PM2S,25,Freestanding,"61 Auto-cook menus, Disinfect, Deodorize, Timer option, Power Save, Overheating Protection, Sensor Malfunction Protection",Solo,Silver,230 Volts,50,Stainless Steel,"1 Microwave Oven, Warranty Card and User Manual",null
https://www.amazon.in/Samsung-Convection-Microwave-MC28A5013AK-TL/dp/B09XBMXQ34/ref=sr_1_5?qid=1686497015&s=kitchen&sr=1-5,"Samsung 28 L Convection Microwave Oven (MC28A5013AK/TL, Black, Curd Anytime)",11590,15590,26,"#3,537 in Home & Kitchen (See Top 100 in Home & Kitchen)  #6 in Microwave Ovens",06-04-2022,Email: support.india@samsung.com Tel (Toll Free): 1800 40 7267864 (1800 40 SAMSUNG),Email: support.india@samsung.com Tel (Toll Free): 1800 40 7267864 (1800 40 SAMSUNG),B09XBMXQ34,4.3,3654,17 kg 500 g,47.5 x 51.7 x 31 Centimeters,1 Case,Convection Microwave Oven,Samsung,MC28A5013AK/TL,28,Freestanding,Defrost,"Grill, Microwave, Convection",Black,230 Volts,900 Watts,Body : Stainless Steel,"Glass Turntable, Wire Rack, Quick Guide Label",Malaysia
https://www.amazon.in/Samsung-Convection-Microwave-CE1041DSB3-TL/dp/B09VH1Q7CM/ref=sr_1_6?qid=1686497015&s=kitchen&sr=1-6,"Samsung 28 L Convection Microwave Oven (CE1041DSB3/TL, Black, SlimFry)",12390,16990,27,"#4,031 in Home & Kitchen (See Top 100 in Home & Kitchen)  #7 in Microwave Ovens",14-03-2022,Email: support.india@samsung.com Tel (Toll Free): 1800 40 7267864 (1800 40 SAMSUNG),Email: support.india@samsung.com Tel (Toll Free): 1800 40 7267864 (1800 40 SAMSUNG),B09VH1Q7CM,4.4,7758,17 kg 500 g,47.5 x 51.7 x 31 Centimeters,1 Case,Convection Microwave Oven,Samsung,CE1041DSB3/TL,28,Freestanding,Defrost,"Grill, Microwave, Convection",Black,230 Volts,900 Watts,"Cavity : Ceramic Enamel Cavity, Door : Glass, Body : Stainless Steel","Glass Turntable, Wire Rack, Crusty Plate, Quick Guide Label",Malaysia
https://www.amazon.in/Panasonic-Solo-Microwave-NN-SM25JBFDG-Black/dp/B08DYCWC9R/ref=sr_1_7?qid=1686497015&s=kitchen&sr=1-7,"Panasonic 20L Solo Microwave Oven (NN-SM25JBFDG,Black)",5490,6790,19,"#5,230 in Home & Kitchen (See Top 100 in Home & Kitchen)  #2 in Solo Microwaves",30-07-2020,"Panasonic India Private Limited,12th Floor, Ambience Tower, Ambience Island, NH-8, Gurgaon -122002, Haryana","Panasonic India Private Limited,12th Floor, Ambience Tower, Ambience Island, NH-8, Gurgaon -122002, Haryana",B08DYCWC9R,4.4,2565,10 kg 500 g,44 x 34 x 26 Centimeters,1 count,Microwave Ovens,Panasonic,NN-SM25JBFDG,20,Countertop,Autocook,Solo,Black,230 Volts,800 Watts,Stainless Steel,"User Manual, Warranty Card",Thailand
https://www.amazon.in/LG-Solo-Microwave-MS2043DB-Black/dp/B00M52J2QY/ref=sr_1_8?qid=1686497015&s=kitchen&sr=1-8,"LG 20 L Solo Microwave Oven (MS2043DB, Black)",6949,8799,21,"#2,507 in Home & Kitchen (See Top 100 in Home & Kitchen)  #1 in Solo Microwaves",26-07-2014,LG,LG,B00M52J2QY,4.3,2095,2 kg 710 g,179.1 x 99.2 x 126 Centimeters,1 set,Microwave Oven,LG,MS2043DB,20,Countertop,"Programmable, Programmable, Autocook, Controlpanellock, Defrost, Interiorlight, Self-cleaning, Timer, Turntable",Solo,Black,70 Volts,700 Watts,Others,1,null
https://www.amazon.in/IFB-Litre-Microwave-20PM-MEC2-White/dp/B09HMGHFB6/ref=sr_1_9?qid=1686497015&s=kitchen&sr=1-9,IFB 20 Litre Solo Microwave Oven (20PM-MEC2) White,6090,7190,15,"#5,923 in Home & Kitchen (See Top 100 in Home & Kitchen)  #12 in Microwave Ovens",01-10-2021,"IFB Industries Ltd.L-1, Verna, Goa, India-403722 0832-3044800/01 Customerservice@ifbglobal.com","IFB Industries Ltd.L-1, Verna, Goa, India-403722 0832-3044800/01 Customerservice@ifbglobal.com",B09HMGHFB6,4.3,3705,10 kg 800 g,35.5 x 25.9 x 44 Centimeters,1 Count,Microwave Ovens,IFB,20PM-MEC2,20,Countertop,Turntable,Convection,Black,230 Volts,1200 Watts,Stainless Steel,"Warranty Card, User Manual, Starter Kit",China
https://www.amazon.in/IFB-Convection-Microwave-30BRC2-Black/dp/B016ZLKJSU/ref=sr_1_10?qid=1686497015&s=kitchen&sr=1-10,"IFB 30 L Convection Microwave Oven (30BRC2, Black, With Starter Kit)",14990,19390,23,"#9,533 in Home & Kitchen (See Top 100 in Home & Kitchen)  #17 in Microwave Ovens",22-10-2015,"IFB Industries Ltd.L-1, Verna, Goa, India-403722 0832-3044800/01 Customerservice@ifbglobal.com","IFB Industries Ltd.L-1, Verna, Goa, India-403722 0832-3044800/01 Customerservice@ifbglobal.com",B016ZLKJSU,4.3,5310,9 kg 100 g,44 x 53.9 x 30 Centimeters,1 Count,Microwave Oven,IFB,30BRC2,30,Countertop,"101 Standard Menus, Various Cooking Mode, Convection Temperature (40~200 ), Preheat, Keep Warm, Auto Programs, Auto Cook, Sound on/off, Ceramic",Convection,Black,null,800 Watts,Other material,"1 Microwave Oven, Warranty Card, User Manual and Starter Kit",China
