Product URL,Product Title,Product Price,MRP Price,Discount Percentage,Best Sellers Rank,Date First Available,Packer,Importer,ASIN,Customer Reviews,Item Weight,Item Dimensions,Net Quantity,Generic Name,Brand,Model,Capacity,Installation Type,Part Number,Special Features,Oven Cooking Mode,Burner Type,Colour,Voltage,Wattage,Fuel Type,Door Orientation,Material,Included Components,Batteries Included,Batteries Required,Country of Origin,Rating,Rating Count
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MjM1ODc5OTUwMjk2Njc2OjE2ODc4MDA5NTM6c3BfYXRmOjIwMDYwMzI2MjI0NDk4OjowOjo&url=2FSamsung-Convection-Microwave-CE1041DSB3-TL2Fdp2FB09VH1Q7CM2Fref3Dsr_1_1_sspa3Fkeywords3Dmicrowaves26qid3D168780095326sr3D8-1-spons26sp_csd3Dd2lkZ2V0TmFtZT1zcF9hdGY26psc3D1,"Samsung 28 L Convection Microwave Oven (CE1041DSB3/TL, Black, SlimFry)",12390,16990,27,"#4,013 in Home & Kitchen (See Top 100 in Home & Kitchen)  #7 in Microwave Ovens",14-Mar-22,Email: support.india@samsung.com Tel (Toll Free): 1800 40 7267864 (1800 40 SAMSUNG),Email: support.india@samsung.com Tel (Toll Free): 1800 40 7267864 (1800 40 SAMSUNG),B09VH1Q7CM,"4.4  4.4 out of 5 stars    
    7,796 ratings   


 4.4 out of 5 stars",17 kg 500 g,47.5 x 51.7 x 31 Centimeters,1 Case,Convection Microwave Oven,Samsung,CE1041DSB3/TL,28,Freestanding,VG-SCLA00G/XL,Defrost,"Grill, Microwave, Convection",Ceramic,Black,230 Volts,900 Watts,Electric,Left,"Cavity : Ceramic Enamel Cavity, Door : Glass, Body : Stainless Steel","Glass Turntable, Wire Rack, Crusty Plate, Quick Guide Label",No,No,Malaysia,4.4,7796
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MjM1ODc5OTUwMjk2Njc2OjE2ODc4MDA5NTM6c3BfYXRmOjIwMTIwMDI2ODc4OTk4OjowOjo&url=2FSamsung-Convection-Microwave-MC28A5025VS-TL2Fdp2FB0B1JG7VMY2Fref3Dsr_1_2_sspa3Fkeywords3Dmicrowaves26qid3D168780095326sr3D8-2-spons26sp_csd3Dd2lkZ2V0TmFtZT1zcF9hdGY26psc3D1,"Samsung 28 L Convection Microwave Oven (MC28A5025VS/TL, Silver, slimfry)",14500,18990,24,"#365,394 in Home & Kitchen (See Top 100 in Home & Kitchen)  #127 in Microwave Ovens",16-May-22,"Samsung India Electronics Private Limited, Gurgaon (India), 180057267864","Samsung India Electronics Private Limited, Gurgaon (India), 180057267864",B0B1JG7VMY,,17 kg 500 g,47.5 x 51.7 x 31 Centimeters,1 Count,MWO,Samsung,MC28A5025VS/TL,28,Countertop,MC28A5025VS/TL,"Auto Cook, Defrost,Control Panel lock, Racks, Timer, interior Light, Turntable, Slimfry, Crusty Plate, Dough/Proof, Tact control, Silver Dual tone Finish, Multi-Spit, Ceramic Enamel Cavity with 10 year Warranty",Convection,Ceramic,Silver,230 Volts,2100 Watts,Electric,Left,Metal,"Microwave oven, Turn table, Pizza base, Tawa, Crusty plate and High or low rack",No,No,India,,
https://www.amazon.in/Panasonic-Microwave-NN-ST26JMFDG-Silver-Menus/dp/B08CL8XF75/ref=sr_1_3?keywords=microwaves&qid=1687800953&sr=8-3,"Panasonic 20L Solo Microwave Oven (NN-ST26JMFDG, Silver, 51 Auto Menus)",5890,7490,21,#923 in Home & Kitchen (See Top 100 in Home & Kitchen)  #1 in Microwave Ovens,08-Jul-20,Panasonic,Panasonic,B08CL8XF75,"4.4  4.4 out of 5 stars    
    4,382 ratings   


 4.4 out of 5 stars",10 kg 500 g,44.3 x 34 x 25.8 Centimeters,1 count,Microwave Ovens,Panasonic,NN-ST26JMFDG,20,Countertop,NN-ST26JMFDG,"Oven Safe, Auto Cook, Defrost, Turntable",Solo,,Silver,230 Volts,800 Watts,Electric,Left,Iron,"MWO Unit, Turntable, Rotating Ring, User Manual",No,No,Thailand,4.4,4382
https://www.amazon.in/LG-Microwave-MS2043BP-Black-Starter/dp/B07MC84QPL/ref=sr_1_5?keywords=microwaves&qid=1687800953&sr=8-5,"LG 20 L Solo Microwave Oven (MS2043BP, Black)",6190,8199,25,"#1,150 in Home & Kitchen (See Top 100 in Home & Kitchen)  #1 in Solo Microwaves",09-Jan-19,LG,LG,B07MC84QPL,"4.3  4.3 out of 5 stars    
    2,120 ratings   


 4.3 out of 5 stars",2 kg 650 g,126 x 179.1 x 99.2 Centimeters,1 set,Microwave Oven,LG,MS2043BP,20,Freestanding,MS2043BP,"Auto Cook, Child Lock Available",Solo,,Black,230 Volts,24 Watts,Electric,Left,Stainless Steel,1,Yes,No,India,4.3,2120
https://www.amazon.in/Bajaj-Microwave-1701-MT-White/dp/B00F15AFPY/ref=sr_1_6?keywords=microwaves&qid=1687800953&sr=8-6,"Bajaj 1701 MT 17L Solo Microwave Oven, White",,,,"#1,901 in Home & Kitchen (See Top 100 in Home & Kitchen)  #3 in Microwave Ovens",07-Sep-13,Bajaj,Bajaj,B00F15AFPY,"4.3  4.3 out of 5 stars    
    5,314 ratings   


 4.3 out of 5 stars",2 kg 490 g,110.2 x 158.3 x 83.5 Centimeters,1 set,Solo Microwave,Bajaj,1701 MT,17,Countertop,490033,Auto_cook,Solo,,White,,800 Watts,Electric,Left,,1,No,No,,4.3,5314
https://www.amazon.in/Samsung-Convection-Microwave-MC28A5013AK-TL/dp/B09XBMXQ34/ref=sr_1_7?keywords=microwaves&qid=1687800953&sr=8-7,"Samsung 28 L Convection Microwave Oven (MC28A5013AK/TL, Black, Curd Anytime)",11590,15590,26,"#2,961 in Home & Kitchen (See Top 100 in Home & Kitchen)  #6 in Microwave Ovens",06-Apr-22,Email: support.india@samsung.com Tel (Toll Free): 1800 40 7267864 (1800 40 SAMSUNG),Email: support.india@samsung.com Tel (Toll Free): 1800 40 7267864 (1800 40 SAMSUNG),B09XBMXQ34,"4.3  4.3 out of 5 stars    
    3,683 ratings   


 4.3 out of 5 stars",17 kg 500 g,47.5 x 51.7 x 31 Centimeters,1 Case,Convection Microwave Oven,Samsung,MC28A5013AK/TL,28,Freestanding,MW5000H,Defrost,"Grill, Microwave, Convection",Ceramic,Black,230 Volts,900 Watts,Electric,Left,Body : Stainless Steel,"Glass Turntable, Wire Rack, Quick Guide Label",,No,Malaysia,4.3,3683
https://www.amazon.in/Samsung-Convection-Microwave-CE1041DSB3-TL/dp/B09VH1Q7CM/ref=sr_1_8?keywords=microwaves&qid=1687800953&sr=8-8,"Samsung 28 L Convection Microwave Oven (CE1041DSB3/TL, Black, SlimFry)",12390,16990,27,"#4,013 in Home & Kitchen (See Top 100 in Home & Kitchen)  #7 in Microwave Ovens",14-Mar-22,Email: support.india@samsung.com Tel (Toll Free): 1800 40 7267864 (1800 40 SAMSUNG),Email: support.india@samsung.com Tel (Toll Free): 1800 40 7267864 (1800 40 SAMSUNG),B09VH1Q7CM,"4.4  4.4 out of 5 stars    
    7,796 ratings   


 4.4 out of 5 stars",17 kg 500 g,47.5 x 51.7 x 31 Centimeters,1 Case,Convection Microwave Oven,Samsung,CE1041DSB3/TL,28,Freestanding,VG-SCLA00G/XL,Defrost,"Grill, Microwave, Convection",Ceramic,Black,230 Volts,900 Watts,Electric,Left,"Cavity : Ceramic Enamel Cavity, Door : Glass, Body : Stainless Steel","Glass Turntable, Wire Rack, Crusty Plate, Quick Guide Label",No,No,Malaysia,4.4,7796
https://www.amazon.in/LG-Solo-Microwave-MS2043DB-Black/dp/B00M52J2QY/ref=sr_1_10?keywords=microwaves&qid=1687800953&sr=8-10,"LG 20 L Solo Microwave Oven (MS2043DB, Black)",7099,8799,19,"#1,150 in Home & Kitchen (See Top 100 in Home & Kitchen)  #1 in Solo Microwaves",26-Jul-14,LG,LG,B00M52J2QY,"4.3  4.3 out of 5 stars    
    2,120 ratings   


 4.3 out of 5 stars",2 kg 710 g,179.1 x 99.2 x 126 Centimeters,1 set,Microwave Oven,LG,MS2043DB,20,Countertop,MS2043DB,"Programmable, Programmable, Auto_cook, Control_panel_lock, Defrost, Interior_light, Self-cleaning, Timer, Turntable",Solo,,Black,70 Volts,700 Watts,,Left,,1,No,No,India,4.3,2120
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MjM1ODc5OTUwMjk2Njc2OjE2ODc4MDA5NTM6c3BfbXRmOjIwMDQ2MTQ4OTc0OTk4OjowOjo&url=2FAmazonBasics-20-Solo-Microwave-Black2Fdp2FB07RR5G1WS2Fref3Dsr_1_11_sspa3Fkeywords3Dmicrowaves26qid3D168780095326sr3D8-11-spons26sp_csd3Dd2lkZ2V0TmFtZT1zcF9tdGY26psc3D1,AmazonBasics 20 L Solo Microwave (Black),4490,8999,50,"#59,873 in Home & Kitchen (See Top 100 in Home & Kitchen)  #49 in Microwave Ovens",12-Sep-19,,"Cloudtail India Private Limited, Ground Floor, Rear Portion, H-9, Block B-1, Mohan Cooperative Industrial Area, Mathura Road, New Delhi-110044",B07RR5G1WS,"4.1  4.1 out of 5 stars    
    863 ratings   


 4.1 out of 5 stars",10 kg 800 g,,,,Amazon Basics,AB2019001,20,Countertop,AB2019001,Defrost,Solo,,Black,,800 Watts,,Left,,,,No,China,4.1,863
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MjM1ODc5OTUwMjk2Njc2OjE2ODc4MDA5NTM6c3BfbXRmOjIwMTIyMzcwNTQ1Mjk4OjowOjo&url=2FSamsung-Convection-Microwave-CE73JD-B1-XTL2Fdp2FB09XBLS8XY2Fref3Dsr_1_12_sspa3Fkeywords3Dmicrowaves26qid3D168780095326sr3D8-12-spons26sp_csd3Dd2lkZ2V0TmFtZT1zcF9tdGY26psc3D1,"Samsung 21 L Convection Microwave Oven (CE73JD-B1/XTL, Black)",9990,12990,23,"#4,520 in Home & Kitchen (See Top 100 in Home & Kitchen)  #8 in Microwave Ovens",06-Apr-22,Email: support.india@samsung.com Tel (Toll Free): 1800 40 7267864 (1800 40 SAMSUNG),Email: support.india@samsung.com Tel (Toll Free): 1800 40 7267864 (1800 40 SAMSUNG),B09XBLS8XY,"4.3  4.3 out of 5 stars    
    2,567 ratings   


 4.3 out of 5 stars",15 kg,44.4 x 48.9 x 28.2 Centimeters,1 Pack,Convection Microwave Oven,Samsung,CE73JD-B1/XTL,21,Freestanding,GIANT,Auto Cook,"Grill, Microwave, Convection",Ceramic,Black,230 Volts,800 Watts,Electric,Left,"Cavity : Ceramic Enamel Cavity, Door : Glass, Body : Stainless Steel","Glass Turntable, Wire Rack, Quick Guide Label",,No,Malaysia,4.3,2567
