URL,Title,Offer Price,MPR,Off,Rating,In the Box,Capacity,Type,Model,Seller Name,Brand,No of Ratings,No of Reviews,Dimensions
https://www.flipkart.com/haier-20-l-solo-microwave-oven/p/itm51b52d3e5381e?pid=MRCFJM39X9DGRCCM&lid=LSTMRCFJM39X9DGRCCM6GTFAX&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_1&otracker=browse&fm=organic&iid=en_ihjxColZ3wKKVjI3JHJ9Qe0%2FF1yMHA05h5Ryuu6Iise9kqpf%2BlCNsiYAt7HfhzPer4BSX0oWJHPYAN1X1gvNqw%3D%3D&ppt=None&ppn=None&ssid=1cbxbmozy80000001686860443738,"Haier 20 L Solo Microwave Oven  (HIL2001MWPH, Black)",5390,7999,32,4.3,"1 Microwave, User Manual and Warranty Card",20,Solo,HIL2001MWPH,OmniTechRetail4.8,Haier,1290,150,"Width: 44 cm, Height: 25.9 cm, Depth: 34 cm, Turntable Diameter: 25.5 cm, Weight: 10.4 kg"
https://www.flipkart.com/haier-30-l-convection-microwave-oven/p/itmf19d876cddd49?pid=MRCFSZPT2HGHMW35&lid=LSTMRCFSZPT2HGHMW35MOTWJW&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_2&otracker=browse&fm=organic&iid=en_ihjxColZ3wKKVjI3JHJ9Qe0%2FF1yMHA05h5Ryuu6Iise6mp1E5XMjGDFy2ebHPKe0AwEXoLeTwJ9%2BjktSMgaN5g%3D%3D&ppt=None&ppn=None&ssid=1cbxbmozy80000001686860443738,"Haier 30 L Convection Microwave Oven  (HIL3001CBSH, Black)",15490,23999,35,4.5,"1 Microwave Oven,Accessories(Turntable,Roller Ring),1 Instruction Manual,Pizza plate,Grill rack",30,Convection,HIL3001CBSH,OmniTechRetail4.8,Haier,121,14,"Width: 52 cm, Height: 32.6 cm, Depth: 50.8 cm, Cavity Width: 34.8 cm, Cavity Height: 33.2 cm, Cavity Depth: 24.2 cm, Cord Length: 1 m, Weight: 18.9 kg"
https://www.flipkart.com/ifb-23-l-convection-microwave-oven/p/itmdwmvzgvtbzcnz?pid=MRCDWK8TTHVHW3WY&lid=LSTMRCDWK8TTHVHW3WYAU7NOA&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&spotlightTagId=FkPickId_j9e%2Fm38%2Fo49&srno=b_1_3&otracker=browse&fm=organic&iid=52e20b34-0f9d-4c49-badc-a8265b28d82a.MRCDWK8TTHVHW3WY.SEARCH&ppt=None&ppn=None&ssid=1cbxbmozy80000001686860443738,"IFB 23 L Convection Microwave Oven  (23SC3, Silver)",9999,13990,28,4.4,1 Microwave Oven Kit User Manual & Warranty Card including 7 piece Starter Kit,23,Convection,23SC3,IWQNBecommerce4.7,IFB,61199,7276,"Width: 56.4 cm, Height: 36.2 cm, Depth: 46 cm, Turntable Diameter: 27 cm, Cavity Width: 34 cm, Cavity Height: 22 cm, Cavity Depth: 32 cm, Weight: 14.9 kg, Other Dimensions: No"
https://www.flipkart.com/bajaj-17-l-solo-microwave-oven/p/itmdxecdsze7bu4h?pid=MRCDXECBDZA7ZZJP&lid=LSTMRCDXECBDZA7ZZJP3GEPSK&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_4&otracker=browse&fm=organic&iid=52e20b34-0f9d-4c49-badc-a8265b28d82a.MRCDXECBDZA7ZZJP.SEARCH&ppt=None&ppn=None&ssid=1cbxbmozy80000001686860443738,"BAJAJ 17 L Solo Microwave Oven  (1701MT, White)",4899,6500,24,4.3,1 Microwave Oven,17,Solo,1701MT,OmniTechRetail4.8,BAJAJ,27683,3263,"Width: 40.99 cm, Height: 30.98 cm, Depth: 51.99 cm, Weight: 12.2 kg"
https://www.flipkart.com/panasonic-20-l-solo-microwave-oven/p/itm44af8460a2306?pid=MRCFTZ8EWHBBPCSC&lid=LSTMRCFTZ8EWHBBPCSC9AO4IF&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_5&otracker=browse&fm=organic&iid=52e20b34-0f9d-4c49-badc-a8265b28d82a.MRCFTZ8EWHBBPCSC.SEARCH&ppt=None&ppn=None&ssid=1cbxbmozy80000001686860443738,"Panasonic 20 L Solo Microwave Oven  (NN-ST26JMFDG, Silver)",5790,7490,22,4.4,"1 Microwave Oven, Tray Roller, Instruction Manual, Warranty Card",20,Solo,NN-ST26JMFDG,OmniTechRetail4.8,Panasonic,1880,160,"Width: 44 cm, Height: 25.9 cm, Depth: 34.6 cm, Weight: 10 kg"
https://www.flipkart.com/samsung-28-l-convection-grill-microwave-oven/p/itm16a0a01ca9e79?pid=MRCGDAVXGK9NZWNH&lid=LSTMRCGDAVXGK9NZWNHOOLC8U&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_6&otracker=browse&fm=organic&iid=52e20b34-0f9d-4c49-badc-a8265b28d82a.MRCGDAVXGK9NZWNH.SEARCH&ppt=None&ppn=None&ssid=1cbxbmozy80000001686860443738,"SAMSUNG 28 L Convection & Grill Microwave Oven  (MC28A5013AK, Black)",11590,15590,25,4.4,"1 Convection Microwave Oven, Glass Turntable, Wire Rack, Quick Guide Label",28,Convection & Grill,MC28A5013AK,OmniTechRetail4.8,SAMSUNG,8776,836,"Width: 51.7 cm, Height: 31 cm, Depth: 47.48 cm, Turntable Diameter: 31.8 cm, Cavity Width: 35.8 cm, Cavity Height: 23.55 cm, Cavity Depth: 32.7 cm, Weight: 17.5 kg"
https://www.flipkart.com/ifb-30-l-convection-microwave-oven/p/itmeftrwhzzy5kyv?pid=MRCEFTRWADS3GCK4&lid=LSTMRCEFTRWADS3GCK4QK0J4B&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_7&otracker=browse&fm=organic&iid=52e20b34-0f9d-4c49-badc-a8265b28d82a.MRCEFTRWADS3GCK4.SEARCH&ppt=None&ppn=None&ssid=1cbxbmozy80000001686860443738,"IFB 30 L Convection Microwave Oven  (30BRC2, Black)",14490,18890,23,4.4,User Manual,30,Convection,30BRC2,IWQNBecommerce4.7,IFB,61199,7276,"Width: 638 mm, Height: 488 mm, Depth: 366 mm, Turntable Diameter: 31.5 cm, Weight: 18.4 kg"
https://www.flipkart.com/haier-20-l-convection-microwave-oven/p/itmer9yvsghjyfkz?pid=MRCER9YVP87DBZYY&lid=LSTMRCER9YVP87DBZYYFUEXBK&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_8&otracker=browse&fm=organic&iid=en_ihjxColZ3wKKVjI3JHJ9Qe0%2FF1yMHA05h5Ryuu6IiseZjs3z1G0MRQ417qAc1XfHk%2FbLoxDEhH84zV5A3dmkFQ%3D%3D&ppt=None&ppn=None&ssid=1cbxbmozy80000001686860443738,"Haier 20 L Convection Microwave Oven  (HIL2001CWPH, Black & White)",9390,10500,10,4.2,Warranty Card (Inside),20,Convection,HIL2001CWPH,OmniTechRetail4.8,Haier,3072,393,"Width: 45.1 cm, Height: 25.6 cm, Depth: 33.7 cm, Turntable Diameter: 27 cm, Grill Rack Diameter: 21 cm, Cavity Width: 30.7 cm, Cavity Height: 19.6 cm, Cavity Depth: 30.6 cm, Cord Length: 2.05 m, Weight: 11.6 kg"
https://www.flipkart.com/panasonic-20-l-solo-microwave-oven/p/itmb8693e45493f6?pid=MRCFTZ8E2AREQZZ4&lid=LSTMRCFTZ8E2AREQZZ4FDIDGI&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_9&otracker=browse&fm=organic&iid=52e20b34-0f9d-4c49-badc-a8265b28d82a.MRCFTZ8E2AREQZZ4.SEARCH&ppt=None&ppn=None&ssid=1cbxbmozy80000001686860443738,"Panasonic 20 L Solo Microwave Oven  (NN-SM25JBFDG, Black)",5390,6790,20,4.3,"1 Microwave Oven, Tray Roller, Instruction Manual, Warranty Card",20,Solo,NN-SM25JBFDG,OmniTechRetail4.8,Panasonic,2776,215,"Width: 44.3 cm, Height: 25.8 cm, Depth: 34 cm, Weight: 10.5 kg"
https://www.flipkart.com/lg-20-l-solo-microwave-oven/p/itmf3rygebb6pbk7?pid=MRCF2UQHF5FPDXGP&lid=LSTMRCF2UQHF5FPDXGPJIS1YS&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_10&otracker=browse&fm=organic&iid=52e20b34-0f9d-4c49-badc-a8265b28d82a.MRCF2UQHF5FPDXGP.SEARCH&ppt=None&ppn=None&ssid=1cbxbmozy80000001686860443738,"LG 20 L Solo Microwave Oven  (MS2043BP, Black)",6290,8199,23,4.3,User Manual,20,Solo,MS2043BP,IWQNBecommerce4.7,LG,7180,771,"Width: 455 mm, Height: 252 mm, Depth: 320 mm, Weight: 12 kg"
https://www.flipkart.com/lg-32-l-convection-microwave-oven/p/itmegvvbwfgdfysz?pid=MRCEGVVBVVT8VT8J&lid=LSTMRCEGVVBVVT8VT8JIVBOFX&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_11&otracker=browse&fm=organic&iid=en_ihjxColZ3wKKVjI3JHJ9Qe0%2FF1yMHA05h5Ryuu6IiseAzWF9V9Utj%2BDf9xPaIGel0sAukWlZYH1LvBq8oRLpJA%3D%3D&ppt=None&ppn=None&ssid=1cbxbmozy80000001686860443738,"LG 32 L Convection Microwave Oven  (MC3286BRUM, Black)",16999,23999,29,4.4,1 Roller Ring,32,Convection,MC3286BRUM,IWQNBecommerce4.7,LG,2861,313,"Width: 53 cm, Height: 31.5 cm, Depth: 52 cm, Turntable Diameter: 34 cm, Weight: 20 kg"
https://www.flipkart.com/lg-28-l-convection-microwave-oven/p/itmew8zysndynd86?pid=MRCEW8ZYMU2AMKZX&lid=LSTMRCEW8ZYMU2AMKZXUCHC3U&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_12&otracker=browse&fm=organic&iid=en_ihjxColZ3wKKVjI3JHJ9Qe0%2FF1yMHA05h5Ryuu6IiseMYPYNH%2FF1a%2BGPf%2FZUPHJc3lqSE4EOmK4XagaPuVx1ZQ%3D%3D&ppt=None&ppn=None&ssid=1cbxbmozy80000001686860443738,"LG 28 L Convection Microwave Oven  (MC2846BV, Black)",11990,13813,13,4.4,Others,28,Convection,MC2846BV,OmniTechRetail4.8,LG,5326,589,"Height: 30.5 cm, Turntable Diameter: 320 mm"
