URL,Title,Offer Price,MRP,Rating,In the Box,Capacity,Type,Model,Seller Name,Brand,No of Ratings,No of Reviews,Dimensions
https://www.flipkart.com/ifb-23-l-convection-microwave-oven/p/itmdwmvzgvtbzcnz?pid=MRCDWK8TTHVHW3WY&lid=LSTMRCDWK8TTHVHW3WYAU7NOA&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&spotlightTagId=FkPickId_j9e%2Fm38%2Fo49&srno=b_1_1&otracker=browse&fm=organic&iid=fcc2921d-fb75-4f9d-82a0-e91afda87aa8.MRCDWK8TTHVHW3WY.SEARCH&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"IFB 23 L Convection Microwave Oven  (23SC3, Silver)",9899,13990,4.4,1 Microwave Oven Kit User Manual & Warranty Card including 7 piece Starter Kit,23,Convection,23SC3,IWQNBecommerce4.7,IFB,61110,7271,"Width: 56.4 cm, Height: 36.2 cm, Depth: 46 cm, Turntable Diameter: 27 cm, Cavity Width: 34 cm, Cavity Height: 22 cm, Cavity Depth: 32 cm, Weight: 14.9 kg, Other Dimensions: No"
https://www.flipkart.com/samsung-28-l-convection-grill-microwave-oven/p/itm16a0a01ca9e79?pid=MRCGDAVXGK9NZWNH&lid=LSTMRCGDAVXGK9NZWNHOOLC8U&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_2&otracker=browse&fm=organic&iid=fcc2921d-fb75-4f9d-82a0-e91afda87aa8.MRCGDAVXGK9NZWNH.SEARCH&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"SAMSUNG 28 L Convection & Grill Microwave Oven  (MC28A5013AK, Black)",11590,15590,4.4,"1 Convection Microwave Oven, Glass Turntable, Wire Rack, Quick Guide Label",28,Convection & Grill,MC28A5013AK,OmniTechRetail4.9,SAMSUNG,8734,833,"Width: 51.7 cm, Height: 31 cm, Depth: 47.48 cm, Turntable Diameter: 31.8 cm, Cavity Width: 35.8 cm, Cavity Height: 23.55 cm, Cavity Depth: 32.7 cm, Weight: 17.5 kg"
https://www.flipkart.com/bajaj-17-l-solo-microwave-oven/p/itmdxecdsze7bu4h?pid=MRCDXECBDZA7ZZJP&lid=LSTMRCDXECBDZA7ZZJP3GEPSK&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_3&otracker=browse&fm=organic&iid=fcc2921d-fb75-4f9d-82a0-e91afda87aa8.MRCDXECBDZA7ZZJP.SEARCH&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"BAJAJ 17 L Solo Microwave Oven  (1701MT, White)",4899,6500,4.3,1 Microwave Oven,17,Solo,1701MT,OmniTechRetail4.9,BAJAJ,27636,3260,"Width: 40.99 cm, Height: 30.98 cm, Depth: 51.99 cm, Weight: 12.2 kg"
https://www.flipkart.com/lg-32-l-convection-microwave-oven/p/itmegvvbwfgdfysz?pid=MRCEGVVBVVT8VT8J&lid=LSTMRCEGVVBVVT8VT8JIVBOFX&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_4&otracker=browse&fm=organic&iid=en_66e2%2Fobm%2BiYprF7bHMP1uEvJX%2F%2FC7NzkIb3TpweRDr68fBHPrly%2FLdcffez4WQ7h0sAukWlZYH1LvBq8oRLpJA%3D%3D&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"LG 32 L Convection Microwave Oven  (MC3286BRUM, Black)",17990,23999,4.4,1 Roller Ring,32,Convection,MC3286BRUM,IWQNBecommerce4.7,LG,2856,313,"Width: 53 cm, Height: 31.5 cm, Depth: 52 cm, Turntable Diameter: 34 cm, Weight: 20 kg"
https://www.flipkart.com/panasonic-20-l-solo-microwave-oven/p/itm44af8460a2306?pid=MRCFTZ8EWHBBPCSC&lid=LSTMRCFTZ8EWHBBPCSC9AO4IF&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_5&otracker=browse&fm=organic&iid=fcc2921d-fb75-4f9d-82a0-e91afda87aa8.MRCFTZ8EWHBBPCSC.SEARCH&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"Panasonic 20 L Solo Microwave Oven  (NN-ST26JMFDG, Silver)",5790,7490,4.4,"1 Microwave Oven, Tray Roller, Instruction Manual, Warranty Card",20,Solo,NN-ST26JMFDG,OmniTechRetail4.9,Panasonic,1861,159,"Width: 44 cm, Height: 25.9 cm, Depth: 34.6 cm, Weight: 10 kg"
https://www.flipkart.com/lg-20-l-solo-microwave-oven/p/itmf3rygebb6pbk7?pid=MRCF2UQHF5FPDXGP&lid=LSTMRCF2UQHF5FPDXGPJIS1YS&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_6&otracker=browse&fm=organic&iid=fcc2921d-fb75-4f9d-82a0-e91afda87aa8.MRCF2UQHF5FPDXGP.SEARCH&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"LG 20 L Solo Microwave Oven  (MS2043BP, Black)",6290,8199,4.3,User Manual,20,Solo,MS2043BP,IWQNBecommerce4.7,LG,7167,770,"Width: 455 mm, Height: 252 mm, Depth: 320 mm, Weight: 12 kg"
https://www.flipkart.com/samsung-28-l-convection-grill-microwave-oven/p/itmd3560dbb0da2f?pid=MRCGDAVXXBSZBGNG&lid=LSTMRCGDAVXXBSZBGNGZ1KJXA&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_7&otracker=browse&fm=organic&iid=fcc2921d-fb75-4f9d-82a0-e91afda87aa8.MRCGDAVXXBSZBGNG.SEARCH&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"SAMSUNG 28 L Convection & Grill Microwave Oven  (CE1041DSB3, Black)",12390,16990,4.4,"1 Convection Microwave Oven, Glass Turntable, Wire Rack, Crusty Plate, Quick Guide Label",28,Convection & Grill,CE1041DSB3,OmniTechRetail4.9,SAMSUNG,18574,1970,"Width: 51.7 cm, Height: 31 cm, Depth: 47.48 cm, Turntable Diameter: 31.8 cm, Cavity Width: 35.8 cm, Cavity Height: 23.55 cm, Cavity Depth: 32.7 cm, Weight: 17.5 kg"
https://www.flipkart.com/samsung-32-l-convection-grill-microwave-oven/p/itm97bf1ebbfcd96?pid=MRWGB542CGFFDBFD&lid=LSTMRWGB542CGFFDBFDBXSQUY&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_8&otracker=browse&fm=organic&iid=en_66e2%2Fobm%2BiYprF7bHMP1uEvJX%2F%2FC7NzkIb3TpweRDr47s8iLkS31gQgfAnkwCr0gZ4KZD51vLJpK8XyNC6rd6g%3D%3D&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"SAMSUNG 32 L Convection & Grill Microwave Oven  (MC32A7035CT, Silver)",16990,20000,4.4,"1 Unit Microwave, 1 Unit Wire Rack, 1 Unit Crusty Plate, Quick Guide Label, User Manual",32,Convection & Grill,MC32A7035CT,OmniTechRetail4.9,SAMSUNG,2706,317,"Width: 52.3 cm, Height: 30.9 cm, Depth: 50.6 cm, Weight: 20 kg"
https://www.flipkart.com/panasonic-20-l-solo-microwave-oven/p/itmb8693e45493f6?pid=MRCFTZ8E2AREQZZ4&lid=LSTMRCFTZ8E2AREQZZ4FDIDGI&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_9&otracker=browse&fm=organic&iid=fcc2921d-fb75-4f9d-82a0-e91afda87aa8.MRCFTZ8E2AREQZZ4.SEARCH&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"Panasonic 20 L Solo Microwave Oven  (NN-SM25JBFDG, Black)",5390,6790,4.3,"1 Microwave Oven, Tray Roller, Instruction Manual, Warranty Card",20,Solo,NN-SM25JBFDG,OmniTechRetail4.9,Panasonic,2764,213,"Width: 44.3 cm, Height: 25.8 cm, Depth: 34 cm, Weight: 10.5 kg"
https://www.flipkart.com/samsung-21-l-convection-microwave-oven/p/itm8891a3360f67f?pid=MRCGDAVXQXUHAAHY&lid=LSTMRCGDAVXQXUHAAHYCEEAX9&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_10&otracker=browse&fm=organic&iid=fcc2921d-fb75-4f9d-82a0-e91afda87aa8.MRCGDAVXQXUHAAHY.SEARCH&ppt=None&ppn=None&ssid=z7bl14tukg0000001686319306778,"SAMSUNG 21 L Convection Microwave Oven  (CE73JD-B1/XTL, Black)",9990,12990,4.4,"1 Convection Microwave Oven, Glass Turntable, Wire Rack, Quick Guide Label",21,Convection,CE73JD-B1/XTL,OmniTechRetail4.9,SAMSUNG,6783,755,"Width: 48.9 cm, Height: 28.2 cm, Depth: 44.4 cm, Turntable Diameter: 25.5 cm, Cavity Width: 33 cm, Cavity Height: 21.1 cm, Cavity Depth: 30.9 cm, Weight: 15 kg"
